%, jaw1 [N], jaw2 [N], time [ms], gripForce [N]
DATA,7.9058,0.1931,339816,8.0989
DATA,7.7773,0.1241,339841,7.9014
DATA,5.3612,0.1999,339865,5.5612
DATA,5.2553,0.2491,339890,5.5044
DATA,7.0303,0.3762,339914,7.4065
DATA,9.0525,0.1805,339939,9.2330
DATA,9.2740,0.1667,339976,9.4407
DATA,7.5279,0.1813,340000,7.7093
DATA,7.8594,0.1657,340025,8.0251
DATA,8.6392,0.1989,340049,8.8381
DATA,8.7242,0.1985,340074,8.9227
DATA,8.6301,0.0608,340098,8.6910
DATA,8.1908,0.1222,340123,8.3130
DATA,8.2842,0.1718,340148,8.4561
DATA,7.7144,0.1698,340172,7.8843
DATA,7.0494,0.0948,340197,7.1442
DATA,7.0038,0.0162,340221,7.0199
DATA,6.7431,0.1909,340246,6.9340
DATA,5.9494,0.1364,340270,6.0858
DATA,5.3654,0.1511,340295,5.5165
DATA,3.4341,0.0882,340332,3.5223
DATA,0.6428,0.2745,340356,0.9173
DATA,0.0306,0.0587,340381,0.0893
DATA,-0.1191,0.1562,340406,0.0370
DATA,-0.0597,0.0794,340430,0.0197
DATA,-0.0652,0.0913,340455,0.0261
DATA,-0.0471,0.1576,340479,0.1105
DATA,-0.1015,0.0900,340504,-0.0115
DATA,-0.1075,0.1799,340528,0.0725
DATA,-0.0147,0.1865,340553,0.1719
DATA,-0.0968,0.1065,340577,0.0097
DATA,-0.1137,0.1593,340602,0.0456
DATA,-0.0176,0.2142,340627,0.1965
DATA,0.1874,0.1682,340663,0.3556
DATA,0.6994,0.1883,340688,0.8876
DATA,1.0633,0.2277,340713,1.2909
DATA,2.3902,0.2331,340737,2.6233
DATA,3.6901,0.1486,340762,3.8388
DATA,4.0243,0.0953,340786,4.1196
DATA,4.7170,0.0583,340811,4.7753
DATA,5.8237,0.1182,340835,5.9420
DATA,7.0318,0.1306,340860,7.1624
DATA,7.2959,0.0689,340885,7.3648
DATA,7.2574,0.0893,340909,7.3467
DATA,8.0191,0.0943,340934,8.1134
DATA,9.5075,0.0874,340958,9.5950
DATA,11.6274,0.1554,340983,11.7827
DATA,10.9175,0.0974,341020,11.0149
DATA,9.0010,0.1947,341044,9.1957
DATA,5.9656,0.1252,341069,6.0908
DATA,2.8638,0.1456,341093,3.0094
DATA,0.3927,0.1155,341118,0.5082
DATA,-0.7575,0.1360,341143,-0.6215
DATA,-0.7997,0.1364,341167,-0.6633
DATA,-0.1038,0.1646,341192,0.0608
DATA,-0.1257,0.2124,341216,0.0867
DATA,0.0156,0.1891,341241,0.2047
DATA,-0.0914,0.1013,341265,0.0099
DATA,-0.0555,0.1091,341290,0.0537
DATA,-0.2076,0.1765,341314,-0.0311
DATA,-0.1515,0.1345,341351,-0.0170
DATA,-0.0441,0.0554,341376,0.0112
DATA,-0.1206,0.2315,341400,0.1109
DATA,0.1743,0.2202,341425,0.3945
DATA,0.9613,0.1857,341450,1.1470
DATA,1.5069,0.1783,341474,1.6852
DATA,2.0914,0.0975,341499,2.1888
DATA,2.3273,0.1652,341523,2.4925
DATA,2.5318,0.0687,341548,2.6006
DATA,2.9475,0.2272,341572,3.1747
DATA,3.1943,0.1782,341597,3.3725
DATA,3.7739,0.2164,341622,3.9903
DATA,4.0238,0.1072,341646,4.1311
DATA,4.5108,0.1443,341671,4.6551
DATA,4.8326,0.1162,341708,4.9488
DATA,4.9212,0.1237,341732,5.0449
DATA,4.6801,0.1914,341757,4.8716
DATA,3.9935,0.3166,341781,4.3101
DATA,2.3680,0.2049,341806,2.5729
DATA,0.5365,0.2156,341830,0.7521
DATA,-0.1761,0.4804,341855,0.3043
DATA,0.1699,0.2561,341880,0.4260
DATA,-0.3346,-0.2376,341904,-0.5722
DATA,-0.0310,0.0775,341929,0.0466
DATA,-0.0377,0.1383,341953,0.1005
DATA,-0.0496,0.1317,341978,0.0821
DATA,0.0662,0.1014,342002,0.1676
DATA,0.0408,0.1327,342027,0.1735
DATA,-0.0877,0.2681,342064,0.1803
DATA,-0.0302,0.1285,342088,0.0983
DATA,-0.0369,0.2405,342113,0.2035
DATA,-0.0982,0.1386,342137,0.0404
DATA,-0.0743,0.0926,342162,0.0184
DATA,-0.0628,0.0995,342187,0.0366
DATA,0.0015,0.2441,342211,0.2456
DATA,-0.0442,0.1219,342236,0.0777
DATA,-0.0792,0.2016,342260,0.1224
DATA,-0.0165,0.1924,342285,0.1759
DATA,-0.1069,0.3112,342309,0.2043
DATA,-0.0859,0.2014,342334,0.1155
DATA,-0.0746,0.0548,342359,-0.0198
DATA,-0.1711,0.1483,342395,-0.0229
DATA,-0.0763,0.1564,342420,0.0801
DATA,-0.1182,0.1563,342445,0.0381
DATA,-0.0502,0.1835,342469,0.1333
DATA,-0.1713,0.1323,342494,-0.0390
DATA,-0.1758,0.0205,342518,-0.1554
DATA,-0.1509,0.1359,342543,-0.0150
DATA,-0.1225,0.1352,342567,0.0127
DATA,-0.0284,0.0258,342592,-0.0026
DATA,-0.1333,0.0870,342616,-0.0463
DATA,-0.1566,0.1702,342641,0.0137
DATA,-0.0794,0.0391,342666,-0.0402
DATA,-0.1339,-0.0018,342690,-0.1357
DATA,-0.0832,0.1166,342715,0.0334
DATA,-0.1588,0.1486,342752,-0.0101
DATA,-0.0513,0.1444,342776,0.0931
DATA,-0.0884,0.2134,342801,0.1250
DATA,-0.1222,0.1022,342825,-0.0200
DATA,-0.0826,0.0857,342850,0.0031
DATA,-0.1118,0.1208,342874,0.0090
DATA,0.0020,0.1990,342899,0.2010
DATA,-0.1746,0.2724,342924,0.0978
DATA,-0.1699,0.1423,342948,-0.0276
DATA,-0.0827,0.2141,342973,0.1313
DATA,-0.0582,0.0851,342997,0.0269
DATA,-0.1479,0.1257,343022,-0.0221
DATA,-0.1237,0.1917,343046,0.0679
DATA,-0.1403,0.1453,343071,0.0050
DATA,-0.1591,0.2152,343108,0.0561
DATA,-0.1068,0.0731,343132,-0.0337
DATA,-0.1982,0.0929,343157,-0.1053
DATA,-0.1056,0.2502,343181,0.1447
DATA,-0.0954,0.1226,343206,0.0271
DATA,-0.0970,0.1179,343231,0.0209
DATA,-0.0845,0.2258,343255,0.1413
DATA,-0.2035,0.0454,343280,-0.1580
DATA,-0.1800,0.0495,343304,-0.1305
DATA,-0.0872,0.1723,343329,0.0852
DATA,-0.2298,0.1644,343353,-0.0655
DATA,-0.1639,0.1958,343378,0.0320
