%, jaw1 [N], jaw2 [N], time [ms], gripForce [N]
DATA,0.3109,0.0138,337961,0.3247
DATA,0.2253,0.1279,337986,0.3532
DATA,0.1803,0.1331,338010,0.3134
DATA,0.3152,0.1639,338035,0.4791
DATA,0.2984,0.1732,338060,0.4716
DATA,0.0962,0.0353,338084,0.1315
DATA,0.2515,0.1357,338109,0.3872
DATA,0.3256,0.1522,338133,0.4778
DATA,0.2507,0.1211,338158,0.3717
DATA,0.2158,0.2005,338182,0.4164
DATA,0.2657,0.0822,338207,0.3479
DATA,0.2881,0.0919,338244,0.3800
DATA,0.2271,0.1507,338268,0.3779
DATA,0.2740,0.1393,338293,0.4133
DATA,0.2005,0.2424,338318,0.4429
DATA,0.2125,0.2171,338342,0.4296
DATA,0.3135,0.1901,338367,0.5035
DATA,0.1867,0.1077,338391,0.2944
DATA,0.2819,0.1798,338416,0.4617
DATA,0.2235,0.2308,338440,0.4543
DATA,0.3436,0.1360,338465,0.4796
DATA,0.2737,0.2126,338489,0.4863
DATA,0.2200,0.1728,338514,0.3929
DATA,0.2254,0.0777,338539,0.3031
DATA,0.2488,0.1050,338563,0.3538
DATA,0.2361,0.1390,338600,0.3751
DATA,0.2389,0.0629,338625,0.3018
DATA,0.2033,0.1561,338649,0.3594
DATA,0.3218,0.2159,338674,0.5377
DATA,0.1323,0.1964,338698,0.3287
DATA,0.2268,0.2211,338723,0.4479
DATA,0.3424,0.0924,338747,0.4348
DATA,0.3189,0.0954,338772,0.4143
DATA,0.2065,0.1017,338797,0.3082
DATA,0.2425,0.1386,338821,0.3811
DATA,0.1559,0.2572,338846,0.4131
DATA,0.2527,0.1917,338870,0.4445
DATA,0.2162,0.1450,338895,0.3612
DATA,0.2619,0.1625,338932,0.4244
DATA,0.2536,0.2052,338956,0.4588
DATA,0.2577,0.0376,338981,0.2953
DATA,0.1747,0.1348,339005,0.3095
DATA,0.1948,0.1985,339030,0.3933
DATA,0.1791,0.1034,339054,0.2825
DATA,0.2608,0.0977,339079,0.3585
DATA,0.1842,0.1622,339104,0.3463
DATA,0.2282,0.1702,339128,0.3984
DATA,0.1718,0.1192,339153,0.2910
DATA,0.3221,0.1594,339177,0.4815
DATA,0.1404,0.0198,339202,0.1603
DATA,0.2612,0.2463,339226,0.5075
DATA,0.2024,0.1134,339251,0.3158
DATA,0.2016,0.1117,339288,0.3133
DATA,0.2950,0.1456,339312,0.4406
DATA,0.2393,0.1726,339337,0.4118
DATA,0.2640,0.2409,339362,0.5049
DATA,0.1824,0.1552,339386,0.3375
DATA,0.2298,0.1048,339411,0.3346
DATA,0.1157,0.2184,339435,0.3341
DATA,0.1025,0.1650,339460,0.2675
DATA,0.1849,0.2886,339484,0.4735
DATA,0.2896,0.1936,339509,0.4832
DATA,0.1891,0.0704,339533,0.2595
DATA,0.1970,0.0778,339558,0.2748
DATA,0.1439,0.1613,339583,0.3052
DATA,0.2639,-0.0264,339619,0.2375
DATA,0.1794,0.1535,339644,0.3329
DATA,0.0862,0.0832,339669,0.1694
DATA,0.1921,0.1755,339693,0.3676
DATA,0.0906,0.1690,339718,0.2596
DATA,1.1923,0.2309,339742,1.4232
DATA,4.5470,0.0007,339767,4.5477
DATA,6.1498,0.0701,339791,6.2199
