%, jaw1 [N], jaw2 [N], time [ms], gripForce [N]
DATA,-1.5112,-0.0210,33537,-1.5322
DATA,-1.5157,-0.0977,33562,-1.6134
DATA,-1.6780,-0.0415,33586,-1.7195
DATA,-1.5556,0.0477,33623,-1.5079
DATA,-1.5257,0.0968,33648,-1.4289
DATA,-1.5580,0.0989,33672,-1.4591
DATA,-1.4915,0.0941,33697,-1.3974
DATA,-1.5824,-0.0316,33721,-1.6141
DATA,-1.6562,0.0566,33746,-1.5996
DATA,-1.5455,0.0420,33770,-1.5035
DATA,-1.5743,0.0146,33795,-1.5597
DATA,-1.5621,-0.1442,33820,-1.7063
DATA,-1.6383,-0.0764,33844,-1.7147
DATA,-1.6627,-0.0057,33869,-1.6684
DATA,-1.5893,0.0323,33893,-1.5570
DATA,-1.5113,0.1410,33918,-1.3703
DATA,-1.6172,0.0258,33955,-1.5913
DATA,-1.6153,-0.0518,33979,-1.6670
DATA,-1.5181,-0.1317,34004,-1.6498
DATA,-1.6128,0.0196,34028,-1.5932
DATA,-1.4569,0.0073,34053,-1.4496
DATA,-1.5461,0.0221,34077,-1.5241
DATA,-1.6127,-0.1421,34102,-1.7547
DATA,-1.3586,0.0714,34126,-1.2873
DATA,-0.4617,0.0176,34151,-0.4441
DATA,-0.3995,-0.0303,34175,-0.4297
DATA,0.3000,-0.0245,34200,0.2755
DATA,-1.6371,-0.1904,34225,-1.8275
DATA,-3.6193,0.0866,34249,-3.5327
DATA,-2.2002,-0.0317,34274,-2.2319
DATA,-1.5431,-0.0484,34310,-1.5915
DATA,-1.5603,0.0630,34335,-1.4973
DATA,-1.5594,0.0855,34360,-1.4739
DATA,-1.6366,0.1146,34384,-1.5221
DATA,-1.5608,-0.0987,34409,-1.6595
DATA,-1.5953,0.0631,34433,-1.5322
DATA,-1.5300,-0.1331,34458,-1.6631
DATA,-1.6338,-0.0799,34482,-1.7136
DATA,-1.5015,-0.0597,34507,-1.5612
DATA,-1.5414,-0.0539,34531,-1.5953
DATA,-1.4813,-0.0032,34556,-1.4846
DATA,-1.5134,-0.0183,34580,-1.5317
DATA,-1.5616,-0.0222,34605,-1.5838
DATA,-1.6446,0.0723,34642,-1.5723
DATA,-1.6302,-0.0255,34666,-1.6557
DATA,-1.6264,-0.0107,34691,-1.6372
DATA,-1.6098,-0.0225,34715,-1.6323
DATA,-1.5659,-0.0413,34740,-1.6072
DATA,-1.5241,0.0165,34765,-1.5075
DATA,-1.6058,-0.1227,34789,-1.7285
DATA,-1.4532,0.0561,34814,-1.3971
DATA,-1.5384,-0.0643,34838,-1.6027
DATA,-1.5306,-0.0632,34863,-1.5938
DATA,-1.4025,0.0200,34887,-1.3825
DATA,7.4561,-0.0014,34912,7.4547
DATA,17.9180,-0.0229,34936,17.8951
DATA,23.3118,0.0013,34961,23.3132
DATA,20.9839,0.0108,34998,20.9947
DATA,16.0530,-0.0637,35022,15.9893
DATA,11.9159,0.0932,35047,12.0090
DATA,8.3916,-0.0589,35071,8.3327
DATA,5.3650,-0.0634,35096,5.3016
DATA,2.5285,-0.0763,35120,2.4522
DATA,2.0131,0.0317,35145,2.0447
DATA,1.9355,-0.0683,35169,1.8673
DATA,1.8083,0.0627,35194,1.8710
DATA,1.8865,-0.0915,35219,1.7950
DATA,1.7871,-0.0621,35243,1.7250
DATA,1.8461,0.0111,35268,1.8572
DATA,1.6409,0.0813,35292,1.7221
DATA,1.7637,-0.0421,35329,1.7217
DATA,1.6480,-0.0102,35354,1.6378
DATA,1.7877,0.0508,35378,1.8386
DATA,1.6128,-0.1010,35403,1.5118
DATA,1.6485,0.0218,35427,1.6703
DATA,1.6177,-0.0773,35452,1.5404
DATA,1.5995,0.0022,35476,1.6017
DATA,1.5669,-0.0278,35501,1.5391
DATA,1.5660,-0.0978,35525,1.4682
DATA,1.5965,0.0082,35550,1.6046
DATA,1.6125,0.0872,35574,1.6996
DATA,1.5757,-0.0244,35599,1.5513
DATA,1.6203,0.0532,35624,1.6735
DATA,1.6111,0.0312,35648,1.6423
DATA,1.5439,0.0115,35685,1.5553
DATA,1.6225,0.0951,35709,1.7176
DATA,1.6240,-0.0581,35734,1.5660
DATA,1.5621,0.0225,35759,1.5846
DATA,-0.4088,0.0226,35783,-0.3862
DATA,-3.7680,-0.0173,35808,-3.7853
DATA,-4.6055,-0.0289,35832,-4.6344
DATA,-4.5604,0.0017,35857,-4.5587
DATA,-4.3223,-0.0103,35881,-4.3325
DATA,-1.5459,0.0196,35906,-1.5263
DATA,2.2992,0.0009,35930,2.3001
DATA,2.8275,-0.0569,35955,2.7706
DATA,2.3896,-0.0026,35979,2.3870
DATA,2.0564,0.0083,36016,2.0648
DATA,1.9999,-0.0858,36041,1.9141
DATA,1.9604,-0.1164,36065,1.8440
DATA,2.0500,-0.0426,36090,2.0074
DATA,1.8600,-0.0571,36114,1.8030
DATA,1.9953,0.0248,36139,2.0201
DATA,2.0179,0.1212,36164,2.1391
DATA,1.8863,-0.0302,36188,1.8561
DATA,1.9724,-0.0689,36213,1.9035
DATA,1.9731,-0.0664,36237,1.9066
DATA,1.8559,0.0476,36262,1.9034
DATA,1.8728,0.0984,36286,1.9712
DATA,1.8594,-0.1325,36311,1.7269
DATA,1.7860,0.1868,36348,1.9727
DATA,1.7863,0.0769,36372,1.8632
DATA,1.8289,0.0044,36397,1.8333
DATA,1.9404,0.0801,36421,2.0205
DATA,1.8936,0.1121,36446,2.0057
DATA,1.9017,-0.1007,36470,1.8010
DATA,1.7993,-0.0281,36495,1.7713
DATA,1.8371,0.0557,36520,1.8928
DATA,1.7993,0.0133,36544,1.8126
DATA,1.7497,-0.0151,36569,1.7346
DATA,1.8702,-0.0152,36593,1.8550
DATA,1.7758,0.1216,36618,1.8974
DATA,1.7951,-0.0066,36642,1.7884
DATA,1.7436,0.0013,36667,1.7449
DATA,1.8117,-0.0009,36704,1.8108
DATA,1.8668,0.0093,36728,1.8761
DATA,1.8594,-0.0318,36753,1.8276
DATA,1.7306,0.0157,36777,1.7462
DATA,1.7460,0.1173,36802,1.8632
DATA,1.8546,0.1267,36826,1.9813
DATA,1.7585,0.0952,36851,1.8536
DATA,1.7718,-0.0154,36875,1.7564
DATA,1.7650,0.0062,36900,1.7712
DATA,1.7438,0.0309,36925,1.7747
DATA,1.7983,-0.0178,36949,1.7804
DATA,1.8547,-0.0389,36974,1.8158
DATA,1.7333,-0.0216,36998,1.7116
DATA,1.7811,-0.0005,37023,1.7807
DATA,1.7813,0.0121,37060,1.7934
DATA,1.7677,0.2072,37084,1.9749
DATA,1.7243,0.0225,37109,1.7468
DATA,1.7155,-0.0437,37133,1.6718
DATA,1.6873,0.0093,37158,1.6966
DATA,1.7292,0.0071,37182,1.7364
DATA,1.6730,-0.0610,37207,1.6120
DATA,1.7512,-0.1629,37231,1.5883
DATA,1.6771,-0.0556,37256,1.6215
DATA,1.7879,-0.0303,37280,1.7576
DATA,1.6714,-0.0049,37305,1.6665
DATA,1.6855,0.0567,37330,1.7422
DATA,1.6871,-0.0465,37354,1.6406
DATA,1.8211,-0.0681,37391,1.7530
DATA,1.7027,0.1457,37415,1.8485
DATA,1.7473,-0.0059,37440,1.7414
DATA,1.7029,-0.0744,37465,1.6285
DATA,1.7086,0.0751,37489,1.7837
DATA,1.7124,-0.0123,37514,1.7001
DATA,1.6258,0.0786,37538,1.7044
DATA,1.6537,0.0758,37563,1.7296
DATA,1.6901,0.0810,37587,1.7711
DATA,1.7281,-0.0134,37612,1.7148
DATA,1.5931,-0.0283,37636,1.5648
DATA,1.7680,0.0166,37661,1.7846
DATA,1.6459,0.0786,37685,1.7245
DATA,1.7093,0.0302,37710,1.7395
DATA,1.6752,-0.0222,37747,1.6529
DATA,1.7354,-0.0126,37771,1.7228
DATA,1.8069,0.0348,37796,1.8417
DATA,1.6949,0.0973,37820,1.7922
DATA,1.7952,0.0834,37845,1.8786
DATA,1.7466,0.2097,37870,1.9563
DATA,1.8151,0.3037,37894,2.1188
DATA,1.8923,-1.0625,37919,0.8298
DATA,1.7125,0.1083,37943,1.8207
DATA,1.6552,-0.0812,37968,1.5740
DATA,1.6245,-0.0064,37992,1.6181
DATA,1.7497,-0.0482,38017,1.7016
DATA,1.6774,0.0203,38041,1.6977
DATA,1.7302,0.0532,38078,1.7834
DATA,1.7258,0.0147,38103,1.7405
DATA,1.7121,-0.0350,38127,1.6771
DATA,1.6011,-0.0752,38152,1.5259
DATA,1.6289,0.0817,38176,1.7106
DATA,1.6642,0.0255,38201,1.6896
DATA,1.6510,0.0633,38225,1.7143
DATA,1.7369,0.0897,38250,1.8266
DATA,1.7279,0.0357,38275,1.7636
DATA,1.6693,0.0339,38299,1.7032
DATA,1.7649,0.0024,38324,1.7674
DATA,1.7506,-0.1361,38348,1.6145
DATA,1.6579,0.0336,38373,1.6915
DATA,1.6324,0.0965,38397,1.7289
DATA,1.7060,-0.0448,38434,1.6612
DATA,1.6738,0.0237,38459,1.6975
DATA,1.7045,0.1476,38483,1.8520
DATA,1.7567,-0.0446,38508,1.7121
DATA,1.6594,0.0119,38532,1.6713
DATA,1.6242,-0.0485,38557,1.5756
DATA,1.6616,0.0972,38581,1.7588
DATA,1.8493,-0.0213,38606,1.8280
DATA,1.7081,0.0239,38631,1.7321
DATA,1.7093,-0.1164,38655,1.5929
DATA,1.6826,-0.0721,38680,1.6105
DATA,1.6530,0.0121,38704,1.6651
DATA,1.7510,0.0272,38729,1.7783
DATA,1.7777,0.0003,38753,1.7780
DATA,1.6668,0.0326,38790,1.6995
DATA,1.7480,-0.0206,38815,1.7274
DATA,1.6982,0.1188,38839,1.8171
DATA,1.6319,0.0982,38864,1.7301
DATA,1.7300,-0.0567,38888,1.6733
DATA,1.6665,0.0722,38913,1.7387
DATA,1.7093,-0.0144,38937,1.6949
DATA,1.7055,0.0163,38962,1.7217
DATA,1.7197,-0.0838,38986,1.6359
DATA,1.6448,0.0738,39011,1.7186
DATA,1.7964,-0.0412,39036,1.7553
DATA,1.6884,0.0059,39060,1.6943
DATA,1.7232,-0.0032,39085,1.7200
DATA,1.7948,0.0960,39121,1.8908
DATA,1.7298,-0.0349,39146,1.6948
DATA,1.7129,0.0262,39171,1.7391
DATA,1.7556,-0.0132,39195,1.7425
DATA,1.6596,-0.0080,39220,1.6516
DATA,1.7612,-0.1575,39244,1.6037
DATA,1.6959,-0.0618,39269,1.6341
DATA,1.7916,-0.1667,39293,1.6248
DATA,1.6727,-0.0858,39318,1.5869
DATA,1.7734,-0.0754,39342,1.6981
DATA,1.7312,0.0977,39367,1.8289
DATA,1.7904,0.0103,39392,1.8006
DATA,1.7041,-0.0129,39416,1.6912
DATA,1.7922,0.0098,39441,1.8020
DATA,1.7385,0.0655,39477,1.8039
DATA,1.6909,0.0627,39502,1.7536
DATA,1.7954,0.0492,39527,1.8447
DATA,1.7160,-0.0727,39551,1.6433
DATA,1.6897,0.0130,39576,1.7027
DATA,1.8110,0.0269,39600,1.8380
DATA,1.7390,-0.0406,39625,1.6984
DATA,1.7150,0.0442,39649,1.7592
DATA,1.7147,0.0870,39674,1.8017
DATA,1.7314,-0.0229,39698,1.7085
DATA,1.8632,0.0016,39723,1.8648
DATA,1.6924,0.0067,39747,1.6991
DATA,1.7552,-0.0387,39772,1.7166
DATA,1.7602,0.0497,39797,1.8099
DATA,1.6595,-0.1507,39833,1.5088
DATA,1.6987,0.0521,39858,1.7508
DATA,1.7805,0.0589,39882,1.8394
DATA,1.8076,0.1089,39907,1.9165
DATA,1.8374,0.0885,39932,1.9259
DATA,1.8389,0.0155,39956,1.8544
DATA,1.7523,-0.0730,39981,1.6793
DATA,1.7402,-0.0956,40005,1.6446
DATA,1.8725,0.1098,40030,1.9823
DATA,1.7443,-0.0068,40054,1.7375
DATA,1.7944,-0.0104,40079,1.7841
DATA,1.8094,-0.0071,40103,1.8024
DATA,1.7407,0.0329,40128,1.7737
DATA,1.8440,-0.0418,40165,1.8022
DATA,1.8189,-0.0250,40189,1.7939
DATA,1.7341,-0.0974,40214,1.6367
DATA,1.7919,0.0135,40238,1.8055
DATA,1.8575,0.0658,40263,1.9234
DATA,1.7483,-0.0735,40287,1.6748
DATA,1.7988,-0.0177,40312,1.7811
DATA,1.7593,0.1019,40337,1.8612
DATA,1.8066,0.0615,40361,1.8681
