%, jaw1 [N], jaw2 [N], time [ms], gripForce [N]
DATA,0.7209,0.1054,13351,0.8263
DATA,0.7041,0.0808,13387,0.7849
DATA,0.6687,0.2421,13412,0.9108
DATA,0.6663,0.0473,13437,0.7136
DATA,0.8118,-0.0038,13461,0.8080
DATA,0.7263,0.2451,13486,0.9714
DATA,0.8022,0.0175,13510,0.8197
DATA,0.6545,0.0480,13535,0.7025
DATA,0.7506,0.1816,13559,0.9322
DATA,0.7377,0.0566,13584,0.7944
DATA,0.8342,0.1079,13608,0.9421
DATA,0.7220,0.0540,13633,0.7760
DATA,0.8134,0.0594,13657,0.8728
DATA,0.7140,0.0105,13682,0.7245
DATA,0.7840,0.0676,13707,0.8515
DATA,0.8622,-0.0281,13743,0.8342
DATA,0.6595,0.0107,13768,0.6702
DATA,0.7776,0.0850,13793,0.8626
DATA,0.8036,0.0334,13817,0.8370
DATA,0.7671,0.0807,13842,0.8478
DATA,0.7255,0.0201,13866,0.7456
DATA,0.7336,0.0462,13891,0.7798
DATA,0.7137,0.1541,13915,0.8678
DATA,0.8229,0.0076,13940,0.8305
DATA,0.7088,0.0017,13964,0.7105
DATA,0.7305,0.0599,13989,0.7904
DATA,0.7555,0.2105,14013,0.9660
DATA,0.7314,0.0011,14038,0.7324
DATA,0.7506,-0.0001,14075,0.7506
DATA,0.7138,0.0706,14099,0.7844
DATA,0.7829,0.0733,14124,0.8562
DATA,0.8550,-0.0890,14149,0.7660
DATA,0.7222,0.0197,14173,0.7419
DATA,0.6802,-0.0012,14198,0.6790
DATA,0.7999,0.1044,14222,0.9044
DATA,0.6656,0.0300,14247,0.6956
DATA,0.6635,-0.0102,14271,0.6534
DATA,0.7169,0.1022,14296,0.8191
DATA,0.7604,0.0792,14320,0.8396
DATA,0.8346,0.0002,14345,0.8348
DATA,0.8015,0.0206,14369,0.8221
DATA,0.6494,-0.0026,14394,0.6468
DATA,0.6859,0.0667,14431,0.7526
DATA,0.7738,0.1711,14455,0.9448
DATA,0.6689,-0.3819,14480,0.2870
DATA,0.4595,0.4987,14504,0.9582
DATA,0.6807,0.0911,14529,0.7718
DATA,0.6270,0.1636,14554,0.7907
DATA,0.5518,-0.0560,14578,0.4958
DATA,0.5910,0.0597,14603,0.6508
DATA,0.5423,0.0649,14627,0.6072
DATA,0.5856,0.0218,14652,0.6074
DATA,0.6400,0.1030,14676,0.7430
DATA,0.5769,-0.0602,14701,0.5168
DATA,0.5286,0.0739,14725,0.6026
DATA,0.6081,0.0643,14762,0.6724
DATA,0.6754,-0.0057,14787,0.6697
DATA,0.6366,0.1836,14811,0.8203
DATA,0.6157,0.0743,14836,0.6900
DATA,0.4845,0.0117,14860,0.4963
DATA,3.0052,0.0689,14885,3.0741
DATA,5.3996,0.0368,14910,5.4364
DATA,8.3409,0.1127,14934,8.4536
DATA,7.3333,0.0539,14959,7.3873
DATA,4.5228,0.1184,14983,4.6412
DATA,5.0249,0.0764,15008,5.1013
DATA,6.0590,0.0946,15032,6.1536
DATA,5.5321,0.0089,15057,5.5410
DATA,5.5407,0.0482,15094,5.5889
DATA,5.1258,0.0372,15118,5.1630
DATA,6.8737,0.0879,15143,6.9616
DATA,9.5853,0.0806,15167,9.6659
DATA,10.1991,0.1011,15192,10.3002
DATA,11.0091,0.0216,15216,11.0307
DATA,10.8730,0.0702,15241,10.9432
DATA,11.3797,0.0694,15266,11.4491
DATA,12.1198,0.1629,15290,12.2827
DATA,11.5603,-0.0149,15315,11.5454
DATA,10.6256,0.0808,15339,10.7064
DATA,10.3962,0.1364,15364,10.5326
DATA,9.6785,0.1475,15388,9.8260
DATA,8.4925,0.0557,15413,8.5481
DATA,8.1322,0.0062,15450,8.1383
DATA,8.0365,0.0746,15474,8.1112
DATA,7.2656,0.1821,15499,7.4476
DATA,6.7831,0.0107,15523,6.7938
DATA,5.9912,-0.0362,15548,5.9550
DATA,3.5369,0.0887,15572,3.6256
DATA,0.2965,0.0978,15597,0.3944
DATA,0.6391,0.1268,15622,0.7659
DATA,0.6846,0.1596,15646,0.8442
DATA,0.6740,-0.0146,15671,0.6594
DATA,0.5889,-0.0278,15695,0.5611
DATA,0.5994,-0.0349,15720,0.5645
DATA,0.7016,-0.0015,15744,0.7002
DATA,0.7136,0.1803,15781,0.8939
DATA,0.6259,0.0585,15806,0.6844
DATA,0.7422,0.0403,15830,0.7825
DATA,0.6002,0.0425,15855,0.6427
DATA,0.5656,0.1703,15879,0.7358
DATA,0.5732,0.1461,15904,0.7192
DATA,0.9305,-0.0794,15928,0.8511
DATA,1.5955,0.1601,15953,1.7556
DATA,3.2132,0.0986,15977,3.3117
DATA,4.7781,0.0344,16002,4.8126
DATA,5.6240,0.0881,16027,5.7121
DATA,6.9307,0.1430,16051,7.0737
DATA,7.5326,-0.0143,16076,7.5183
DATA,5.9372,0.1260,16113,6.0632
DATA,4.9268,0.0849,16137,5.0117
DATA,5.7527,0.0890,16162,5.8417
DATA,6.8283,0.0046,16186,6.8329
DATA,6.7904,0.2156,16211,7.0060
DATA,5.7713,0.0656,16235,5.8369
DATA,6.1096,0.1280,16260,6.2376
