%, jaw1 [mN], jaw2 [mN], time [ms], gripForce [mN]
DATA,4.2284,0.0681,132711,4.2965
DATA,4.3456,0.0714,132735,4.4171
DATA,4.2438,0.0292,132760,4.2730
DATA,4.3019,0.1255,132797,4.4274
DATA,4.3192,0.0074,132821,4.3266
DATA,4.2569,-0.0020,132846,4.2549
DATA,4.2191,0.1523,132870,4.3713
DATA,4.2433,0.0795,132895,4.3228
DATA,4.2417,-0.0275,132920,4.2142
DATA,4.2983,-0.0095,132944,4.2888
DATA,4.3157,0.1717,132969,4.4874
DATA,4.1366,-0.0931,132993,4.0435
DATA,4.2244,0.0818,133018,4.3063
DATA,4.3608,-0.0442,133043,4.3166
DATA,4.2896,0.0437,133067,4.3333
DATA,4.2592,0.0808,133092,4.3400
DATA,4.3257,0.0667,133116,4.3924
DATA,4.2311,0.0034,133153,4.2345
DATA,4.1958,-0.0806,133178,4.1151
DATA,4.1730,-0.0342,133202,4.1389
DATA,4.2177,-0.0319,133227,4.1858
DATA,4.2161,-0.0716,133251,4.1445
DATA,4.2030,0.0592,133276,4.2622
DATA,4.2562,0.0526,133301,4.3088
DATA,4.1803,-0.0353,133325,4.1450
DATA,4.2911,0.0935,133350,4.3846
DATA,4.2157,0.1253,133374,4.3410
DATA,4.1386,0.1049,133399,4.2435
DATA,4.3019,0.1227,133424,4.4246
DATA,4.2468,-0.0692,133448,4.1776
DATA,4.3487,0.0679,133485,4.4167
DATA,4.2413,-0.0171,133510,4.2242
DATA,4.2724,-0.0676,133534,4.2049
DATA,4.3503,0.0515,133559,4.4018
DATA,4.1713,-0.0073,133583,4.1640
DATA,4.2717,0.1017,133608,4.3734
DATA,4.2278,0.0366,133633,4.2644
DATA,4.2127,-0.0259,133657,4.1867
DATA,4.1739,-0.0250,133682,4.1489
DATA,4.2648,-0.0268,133706,4.2380
DATA,4.3267,0.0342,133731,4.3608
DATA,4.1921,-0.0581,133755,4.1340
DATA,4.2938,0.1065,133780,4.4003
DATA,4.2220,0.0432,133805,4.2652
DATA,4.3578,0.1368,133842,4.4947
DATA,4.2128,0.0539,133866,4.2667
DATA,4.2766,-0.0036,133891,4.2730
DATA,4.1765,0.0357,133915,4.2122
DATA,4.2877,-0.0656,133940,4.2221
DATA,4.3324,0.0904,133964,4.4228
DATA,4.1663,-0.0117,133989,4.1546
DATA,4.1550,0.0370,134014,4.1920
DATA,4.1662,0.0544,134038,4.2206
DATA,4.1127,-0.0159,134063,4.0967
DATA,4.1126,-0.1015,134087,4.0111
DATA,4.1997,-0.6230,134112,3.5767
DATA,4.0626,-0.6845,134137,3.3781
DATA,4.1563,1.5499,134173,5.7062
DATA,4.1510,2.4558,134198,6.6068
DATA,4.1064,2.8949,134223,7.0014
DATA,4.1180,2.9889,134247,7.1070
DATA,4.0156,2.4188,134272,6.4345
DATA,4.1986,2.6428,134296,6.8414
DATA,5.0930,2.6391,134321,7.7321
DATA,7.0255,2.0130,134345,9.0385
DATA,9.1360,2.0369,134370,11.1729
DATA,11.5599,1.8915,134395,13.4514
DATA,12.9754,1.0945,134419,14.0699
DATA,15.0883,0.4739,134444,15.5622
DATA,17.8884,0.3373,134468,18.2257
DATA,21.4106,0.5739,134493,21.9846
DATA,23.1271,0.9975,134530,24.1246
DATA,24.0458,1.2182,134554,25.2639
DATA,25.5332,0.8899,134579,26.4231
DATA,28.0137,0.9099,134604,28.9237
DATA,29.2686,0.6356,134628,29.9042
DATA,30.3044,0.6513,134653,30.9557
DATA,29.7790,0.4232,134677,30.2022
DATA,29.1033,0.5738,134702,29.6771
DATA,29.9798,1.2695,134727,31.2492
DATA,31.9076,1.9496,134751,33.8572
DATA,31.9331,2.2114,134776,34.1445
DATA,29.7400,2.0664,134800,31.8064
DATA,24.7372,1.6913,134825,26.4285
DATA,21.0847,1.8683,134862,22.9530
DATA,17.1251,1.8114,134886,18.9365
DATA,9.5464,1.6878,134911,11.2342
DATA,5.4705,1.7386,134936,7.2092
DATA,5.0002,1.4257,134960,6.4259
DATA,4.9769,0.9358,134985,5.9127
DATA,4.7536,0.5809,135009,5.3346
DATA,4.7788,0.4048,135034,5.1837
DATA,4.8103,0.1785,135059,4.9888
DATA,4.8296,0.2190,135083,5.0486
DATA,4.6846,0.2392,135108,4.9239
DATA,4.7155,0.3419,135132,5.0575
DATA,4.7172,0.3498,135157,5.0671
DATA,4.7694,0.3138,135182,5.0832
DATA,4.6421,0.1859,135218,4.8280
DATA,4.6682,0.1673,135243,4.8356
DATA,4.7308,-0.0557,135268,4.6751
DATA,4.7184,0.0922,135292,4.8106
DATA,4.6891,0.0687,135317,4.7578
DATA,4.8551,0.1172,135341,4.9723
DATA,5.8890,0.1206,135366,6.0096
DATA,6.6475,0.1239,135391,6.7714
DATA,7.0925,0.2695,135415,7.3620
DATA,8.3940,0.3176,135440,8.7116
DATA,9.9259,0.4808,135464,10.4067
DATA,10.4290,0.3157,135489,10.7447
DATA,10.8085,0.1145,135513,10.9230
DATA,11.9281,0.1696,135550,12.0977
DATA,12.9798,0.3138,135575,13.2936
DATA,13.4005,0.5065,135600,13.9069
DATA,14.1261,0.5052,135624,14.6313
DATA,14.4320,0.3937,135649,14.8257
DATA,13.7548,0.5457,135673,14.3005
DATA,13.5284,0.7602,135698,14.2885
DATA,13.7631,0.6472,135722,14.4103
DATA,14.0211,0.7713,135747,14.7923
DATA,13.8325,0.6125,135772,14.4450
DATA,13.7523,0.5043,135796,14.2565
DATA,14.3187,0.9254,135821,15.2441
DATA,14.9677,1.2070,135845,16.1747
DATA,14.6000,1.1871,135870,15.7871
DATA,13.7925,0.9471,135907,14.7396
DATA,13.2852,0.9802,135931,14.2654
DATA,12.6521,0.7789,135956,13.4310
DATA,10.1792,0.6116,135981,10.7908
DATA,6.5145,0.4093,136005,6.9238
DATA,4.9499,0.5017,136030,5.4516
DATA,4.7372,0.3202,136054,5.0574
DATA,4.7653,0.2393,136079,5.0046
DATA,4.7127,0.1131,136104,4.8258
DATA,4.6348,-0.0757,136128,4.5591
DATA,4.7122,-0.0143,136153,4.6979
DATA,4.7160,-0.0406,136177,4.6754
DATA,5.3586,0.0013,136202,5.3599
DATA,6.6309,0.0709,136239,6.7018
DATA,7.8987,0.0937,136263,7.9924
DATA,9.8234,-0.1398,136288,9.6836
DATA,13.2549,0.0261,136313,13.2810
DATA,15.3410,0.0272,136337,15.3681
DATA,15.2063,0.0676,136362,15.2739
DATA,14.8083,0.0461,136386,14.8543
DATA,15.4143,0.0909,136411,15.5053
DATA,15.6458,-0.0001,136435,15.6457
DATA,15.6700,0.0328,136460,15.7028
DATA,16.1636,0.0578,136485,16.2214
DATA,16.7173,0.0394,136509,16.7567
DATA,17.1046,-0.0002,136534,17.1044
DATA,17.4891,0.1121,136558,17.6012
DATA,17.8064,0.0928,136595,17.8992
DATA,17.7338,-0.0269,136620,17.7069
DATA,17.0818,0.0683,136644,17.1501
DATA,17.8952,0.1639,136669,18.0591
DATA,20.0088,0.0692,136694,20.0780
DATA,20.2751,0.0423,136718,20.3174
DATA,18.4571,0.1051,136743,18.5621
DATA,18.1839,-0.0590,136767,18.1249
DATA,19.9168,0.0347,136792,19.9515
DATA,20.5772,0.1204,136816,20.6975
DATA,19.6734,0.0697,136841,19.7432
DATA,18.8415,0.0288,136866,18.8704
DATA,18.8856,0.1077,136890,18.9933
DATA,18.8590,0.0637,136927,18.9227
DATA,18.0007,0.2106,136952,18.2113
DATA,17.8046,0.1405,136976,17.9451
DATA,18.0127,0.0926,137001,18.1054
DATA,18.1849,0.0331,137025,18.2180
DATA,18.1650,0.0016,137050,18.1666
DATA,18.6692,0.0964,137075,18.7656
DATA,19.2046,0.0959,137099,19.3006
DATA,18.9725,0.2267,137124,19.1992
DATA,17.9118,-0.0535,137148,17.8583
DATA,17.1723,-0.1810,137173,16.9913
DATA,17.9246,0.2228,137198,18.1474
DATA,18.7855,0.0284,137222,18.8140
DATA,18.3222,-0.0465,137247,18.2756
DATA,18.4295,-0.0432,137284,18.3863
DATA,20.8334,0.0345,137308,20.8679
DATA,22.6571,-0.0605,137333,22.5967
DATA,21.5626,0.0444,137357,21.6070
DATA,21.4701,0.0223,137382,21.4924
DATA,23.4702,0.2238,137407,23.6940
DATA,24.0827,0.0298,137431,24.1124
DATA,23.4051,-0.0726,137456,23.3326
DATA,23.8178,-0.2123,137480,23.6055
DATA,24.3699,-0.1107,137505,24.2592
DATA,24.1270,-0.3180,137529,23.8090
DATA,24.2274,-0.0818,137554,24.1456
DATA,24.5729,-0.1161,137579,24.4569
DATA,24.1885,-0.1577,137616,24.0308
DATA,23.8491,-0.0468,137640,23.8022
DATA,23.3882,-0.1628,137665,23.2254
DATA,23.1406,-0.2019,137689,22.9387
DATA,22.6722,-0.3125,137714,22.3597
DATA,22.4620,-0.0729,137738,22.3891
DATA,22.6139,-0.1331,137763,22.4809
DATA,21.9273,-0.1125,137788,21.8148
DATA,21.3233,-0.2141,137812,21.1093
DATA,21.4926,0.0347,137837,21.5272
DATA,21.9069,-0.0331,137861,21.8738
DATA,21.2726,-0.0763,137886,21.1963
DATA,19.7448,-0.2410,137911,19.5038
DATA,19.6955,-0.1170,137935,19.5785
DATA,20.6494,-0.0505,137972,20.5989
DATA,21.2018,-0.0629,137997,21.1389
DATA,21.4457,-0.0375,138021,21.4082
DATA,21.0004,-0.1931,138046,20.8073
DATA,21.5415,0.0255,138070,21.5670
DATA,22.4992,0.0839,138095,22.5831
DATA,21.9218,-0.0576,138120,21.8641
DATA,20.6482,0.0209,138144,20.6692
DATA,21.0682,0.0063,138169,21.0744
DATA,21.5918,0.1142,138193,21.7060
DATA,20.8688,0.1072,138218,20.9759
DATA,19.5887,0.0569,138242,19.6456
DATA,20.5016,0.1027,138267,20.6043
DATA,21.7295,0.0746,138304,21.8041
DATA,21.3446,0.0827,138329,21.4273
DATA,20.9747,-0.0606,138353,20.9141
DATA,21.6445,0.0157,138378,21.6602
DATA,22.2115,0.1471,138402,22.3585
DATA,22.1490,0.1237,138427,22.2727
DATA,21.8294,0.1790,138451,22.0084
DATA,21.7396,0.0198,138476,21.7594
DATA,21.2963,-0.0346,138501,21.2617
DATA,19.9181,0.0302,138525,19.9482
DATA,19.3463,0.0861,138550,19.4323
DATA,19.2764,0.0183,138574,19.2947
DATA,17.8069,0.0072,138599,17.8141
DATA,15.5279,0.0089,138624,15.5368
DATA,11.9264,0.0077,138660,11.9340
DATA,7.7871,0.0588,138685,7.8459
DATA,5.3298,0.0911,138710,5.4209
DATA,5.1269,0.0253,138734,5.1521
DATA,5.0923,0.0107,138759,5.1031
DATA,5.0606,0.0705,138783,5.1311
DATA,4.9850,0.1109,138808,5.0959
DATA,4.9916,0.0112,138833,5.0028
DATA,4.8969,0.0421,138857,4.9390
DATA,4.8941,0.1354,138882,5.0295
DATA,4.9396,0.0673,138906,5.0069
DATA,5.5364,0.1314,138931,5.6678
DATA,6.9927,0.0013,138955,6.9940
DATA,7.9475,0.0727,138992,8.0202
DATA,10.1447,0.0585,139017,10.2032
DATA,11.9122,0.0619,139042,11.9741
DATA,13.0941,0.1588,139066,13.2529
DATA,14.4761,-0.0340,139091,14.4421
DATA,16.3209,0.0113,139115,16.3322
DATA,16.2709,0.1205,139140,16.3914
DATA,16.0201,-0.0349,139164,15.9852
DATA,16.9339,0.0419,139189,16.9758
DATA,16.9299,0.0753,139214,17.0052
DATA,15.6693,0.1252,139238,15.7944
DATA,14.8262,-0.0086,139263,14.8176
DATA,15.5299,0.0473,139287,15.5771
DATA,16.3370,0.0876,139312,16.4246
DATA,15.9180,0.0928,139349,16.0108
DATA,14.7088,0.1454,139373,14.8542
DATA,10.5449,-0.0009,139398,10.5440
DATA,8.6672,0.2531,139423,8.9203
DATA,7.8174,0.0951,139447,7.9125
DATA,6.8774,0.4804,139472,7.3578
DATA,4.8338,-0.3458,139496,4.4880
DATA,4.6912,0.1615,139521,4.8527
DATA,4.6730,0.0381,139546,4.7110
DATA,4.6694,-0.0939,139570,4.5754
DATA,4.6509,0.0831,139595,4.7340
DATA,4.7052,0.1064,139619,4.8117
DATA,4.7080,-0.0636,139644,4.6444
DATA,4.6576,0.0528,139681,4.7104
DATA,4.6352,0.0284,139705,4.6635
DATA,4.8270,0.0868,139730,4.9138
DATA,4.8158,0.1539,139755,4.9697
DATA,4.7424,0.0807,139779,4.8231
DATA,4.7347,0.0827,139804,4.8174
DATA,4.6690,0.1665,139828,4.8354
DATA,4.6929,-0.0207,139853,4.6721
DATA,4.6855,0.0326,139877,4.7181
DATA,4.6248,0.1141,139902,4.7389
DATA,4.6899,0.0411,139927,4.7309
DATA,4.6165,0.2202,139951,4.8366
DATA,4.6860,-0.0179,139976,4.6681
DATA,4.7692,0.0763,140000,4.8454
DATA,4.6148,0.2136,140037,4.8285
DATA,4.6111,0.1353,140062,4.7464
DATA,4.7014,0.1198,140086,4.8212
DATA,4.5983,0.0473,140111,4.6456
DATA,4.6538,0.0277,140136,4.6815
DATA,4.6648,0.0286,140160,4.6935
DATA,4.6158,0.0798,140185,4.6956
DATA,4.6850,0.0542,140209,4.7392
DATA,4.6422,0.0535,140234,4.6957
DATA,4.6619,0.0358,140259,4.6977
DATA,4.5992,0.0625,140283,4.6617
DATA,4.6169,0.0734,140308,4.6903
DATA,4.6400,0.0511,140332,4.6911
DATA,4.7439,0.0244,140369,4.7683
DATA,4.6687,-0.0066,140394,4.6620
DATA,4.6442,0.0634,140418,4.7076
DATA,4.5590,0.0704,140443,4.6293
DATA,4.6637,0.1310,140468,4.7947
DATA,4.5676,0.0310,140492,4.5986
DATA,4.5761,0.1666,140517,4.7427
DATA,4.6268,0.1152,140541,4.7420
DATA,4.6682,-0.1529,140566,4.5153
DATA,4.6510,-0.0273,140591,4.6238
DATA,4.6758,-0.0161,140615,4.6597
DATA,4.6923,-0.0224,140640,4.6699
DATA,4.6855,0.0482,140664,4.7337
DATA,4.5615,0.0610,140689,4.6225
DATA,4.5423,-0.0385,140726,4.5038
DATA,4.6930,0.1374,140750,4.8305
DATA,4.6389,-0.0432,140775,4.5957
DATA,4.5539,0.0915,140800,4.6454
DATA,4.6129,0.1193,140824,4.7323
DATA,4.6594,0.1739,140849,4.8333
DATA,4.6027,0.1297,140873,4.7325
DATA,4.6043,0.0178,140898,4.6222
DATA,4.6260,0.1469,140922,4.7729
DATA,4.5964,0.0185,140947,4.6149
DATA,4.6534,0.0493,140972,4.7027
DATA,4.5689,-0.0667,140996,4.5022
DATA,4.6422,-0.1165,141021,4.5257
DATA,4.6338,0.1466,141058,4.7804
DATA,4.6496,0.0351,141082,4.6847
DATA,4.6787,-0.0254,141107,4.6533
DATA,4.6369,0.1079,141131,4.7448
DATA,4.6238,0.0067,141156,4.6305
DATA,4.6336,0.0179,141181,4.6515
DATA,4.5362,0.0502,141205,4.5863
