%, jaw1 [mN], jaw2 [mN], time [ms], gripForce [mN]
DATA,4.2177,0.0333,131383,4.2510
DATA,4.1129,-0.0501,131420,4.0628
DATA,4.1108,-0.0114,131444,4.0995
DATA,4.2166,-0.0628,131469,4.1538
DATA,4.1031,0.0414,131494,4.1445
DATA,4.1723,0.0695,131518,4.2417
DATA,4.1411,0.0638,131543,4.2049
DATA,4.2045,-0.0233,131567,4.1812
DATA,4.1263,0.0513,131592,4.1776
DATA,4.3302,-0.0772,131616,4.2530
DATA,4.1999,0.0232,131641,4.2231
DATA,4.1375,0.0838,131666,4.2213
DATA,4.1448,0.0688,131690,4.2135
DATA,4.1923,0.0714,131715,4.2637
DATA,4.1805,0.0307,131739,4.2111
DATA,4.3847,0.0193,131776,4.4040
DATA,4.2333,0.0569,131801,4.2902
DATA,4.1083,-0.0151,131825,4.0932
DATA,4.2689,0.1546,131850,4.4235
DATA,4.1488,0.0356,131875,4.1844
DATA,4.2808,0.0750,131899,4.3558
DATA,4.1939,0.0606,131924,4.2546
DATA,4.3279,0.0862,131948,4.4141
DATA,4.3342,0.0878,131973,4.4220
DATA,4.3751,-0.0057,131998,4.3694
DATA,4.2986,0.0775,132022,4.3761
DATA,4.2514,-0.0022,132047,4.2492
DATA,4.2480,-0.0559,132071,4.1921
DATA,4.2153,-0.1043,132108,4.1110
DATA,4.2145,0.0507,132133,4.2651
DATA,4.3274,0.1125,132157,4.4398
DATA,4.1548,-0.0322,132182,4.1227
DATA,4.1947,0.0288,132207,4.2235
DATA,4.2331,0.1316,132231,4.3647
DATA,4.1910,0.0489,132256,4.2399
DATA,4.2585,0.0189,132280,4.2775
DATA,4.3235,0.0871,132305,4.4106
DATA,4.1893,-0.0554,132329,4.1339
DATA,4.1234,-0.0539,132354,4.0695
DATA,4.2713,0.0041,132379,4.2754
DATA,4.1267,0.0208,132403,4.1475
DATA,4.2662,0.0008,132428,4.2671
DATA,4.2023,0.0744,132465,4.2767
DATA,4.1831,-0.0773,132489,4.1058
DATA,4.2423,-0.0706,132514,4.1717
DATA,4.2355,0.0688,132538,4.3043
DATA,4.2861,0.0723,132563,4.3584
DATA,4.3053,0.0381,132588,4.3433
DATA,4.3123,-0.0914,132612,4.2209
DATA,4.2529,0.0590,132637,4.3119
DATA,4.2030,0.0777,132661,4.2807
DATA,4.1878,-0.0011,132686,4.1867
